,,"Raw extracted data",,,,,,,,,,,,,,,,"Cleaned/synthesised data",,,,,,,
25,"Publication","Marinescu2023","Data location requirements within national borders",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Data location","TRUE",,,,,,1
26,"Publication","Marinescu2023","Hypervisor security",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Virtualization / Hypervisor security","TRUE",,,,,,1
27,"Publication","Marinescu2023","Auditing of data-integrity protection",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Auditing of data-integrity protection","TRUE",,,,,,1
28,"Publication","Marinescu2023","verification of subscriber policies through provider controls",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Verification of subscriber policies through provider controls","TRUE",,,,,,1
29,"Publication","Marinescu2023","Certification/accreditation requirements for a given cloud service",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Certification/accreditation requirements for a given cloud service","TRUE",,,,,,1
30,"Publication","Marinescu2023","Services are vulnerable to DoS attacks",,,,,"Challenge",,,,1,,,,,"C 2.12, P 51","DoS/DDoS attack","",TRUE,TRUE,,,1,
31,"Publication","Marinescu2023","Malicious insiders",,,,,"Challenge",,,,1,,,,,"C 2.12, P 51","Malicious insider attack","",TRUE,TRUE,,,1,
32,"Publication","Marinescu2023","Resources serve as the host to initiate attacks against networking and computing infrastructure",,,,,"Challenge",,1,,,,,,,"C 2.12, P 51","Using the cloud to host attacks (services, ressources, ...)","",TRUE,,,TRUE,,
33,"Publication","Marinescu2023","Virtualization",,,,,"Challenge",,,,,,"Major challenge","Exposes  the system to additional sources of attacks",,"C 2.12, P 51","Virtualization / Hypervisor security","TRUE",,,,,,1
34,"Publication","Marinescu2023","Cloud resource management",,,,,"Challenge",,,,,,"Major challenge",,,"C 2.12, P 51","Cloud resource management","TRUE",,,,,,1
35,"Publication","Marinescu2023","Vendor lockin","Interoperability and standardization",,,,"Challenge",,,,,,"Major challenge",,"Once a customer is hooked to one provider, it is hard to move to another","C 2.12, P 51","Vendor lockin","",TRUE,,,,1,
36,"Publication","Marinescu2023","Unauthorized access to confidential information",,,,,"Concern",,,,,,"Major concern","User concern","None","C 8.1","Third-party access / Unauthorized access to data and privileged information","",TRUE,,,,1,
37,"Publication","Marinescu2023","Data theft",,,,,"Concern",,,,,,"Major concern","User concern","None","C 8.1","Data theft","TRUE",,TRUE,,,,1
38,"Publication","Marinescu2023","Insider attacks",,,,,"Concern",,,,,,,"User concern","None","C 8.1","Malicious insider attack","",TRUE,TRUE,,,1,
39,"Publication","Marinescu2023","User control over the lifecycle of data",,,,,"Concern",,,,,,,"User concern; impossible for a user to determine if data that should have been deleted actually was","None","C 8.1","User control over the lifecycle of data","TRUE",,,,,,1
40,"Publication","Marinescu2023","Lack of standardization",,,,,"Concern",,,,,,,"User concern","None","C 8.1","Lack of standardization ","TRUE",,,,,,1
41,"Publication","Marinescu2023","Auditing and compliance",,,,,"Challenge",,,,,,,"User concern","None","C 8.1","Non-compliance and fines","TRUE",,,,,,1
42,"Publication","Marinescu2023","Cloud computing is based on a new technology expected to evolve in the future -> additional security threats",,,,,"Concern",,,,,,,,"None","C 8.1","Unknown threats due to new technology of cloud computing (evolves in the future)","TRUE",,,,,,1
43,"Publication","Marinescu2023","Multitenancy",,,,,"Concern",,,,,,"Root cause of concerns","User concern","None","C 8.1","Multitenancy / Shared technology","",TRUE,,,,1,
44,"Publication","Marinescu2023","Legal framework",,,,,"Concern",,,,,,,,"None","C 8.1","Legal framework","TRUE",,,,,,1
45,"Publication","Marinescu2023","Data handling by the CSP",,,,,"Risk",,,,,,,"User concern","None","C 8.1","Threats related to third-party data control","TRUE",,,,,,1
46,"Publication","Marinescu2023","Traditional security threats",,,,,"Risk",,,,,,"One of three broad classes of security risks","One of three broad classes of security risks",,"C 8.2","Traditional security threats","",TRUE,,,,,
47,"Publication","Marinescu2023","Threats related to system availability",,,,,"Risk",,,,,,"One of three broad classes of security risks","One of three broad classes of security risks",,"C 8.2","Threats related to system availability","",TRUE,,,,1,
48,"Publication","Marinescu2023","Threats related to third-party data control",,,,,"Risk",,,,,,"One of three broad classes of security risks","One of three broad classes of security risks",,"C 8.2","Threats related to third-party data control","TRUE",,,,,,1
49,"Publication","Marinescu2023","Protect the infrastructure used to connect to the cloud",,TRUE,,,,,,,,,,,,"C 8.2","Protect the infrastructure used to connect to the cloud","TRUE",,,,,,1
50,"Publication","Marinescu2023","Authentication and autorization process",,TRUE,,,,,,,,,,,,"C 8.2","Insufficient/missing authentication; Insufficient/missing authorization","",TRUE,,,,2,
51,"Publication","Marinescu2023","DDoS attacks","Traditional security threats",TRUE,,,,,,,,,,,,"C 8.2","DoS/DDoS attack","",TRUE,TRUE,,,1,
52,"Publication","Marinescu2023","Phishing","Traditional security threats",TRUE,,,,,,,,,,,,"C 8.2","Phishing","",TRUE,TRUE,,,1,
53,"Publication","Marinescu2023","SQL injectoin","Traditional security threats",TRUE,,,,,,,,,,,,"C 8.2","SQL injection","",TRUE,TRUE,,,1,
54,"Publication","Marinescu2023","Cross-site scripting","Traditional security threats",TRUE,,,,,,,,,,,,"C 8.2","Cross-site scripting (XSS)","",TRUE,TRUE,,,1,
55,"Publication","Marinescu2023","System failures","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","System failures","",TRUE,,,,1,
56,"Publication","Marinescu2023","Power outages","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","Power outages","",TRUE,,,,1,
57,"Publication","Marinescu2023","Other catastrophic events","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","Other catastrophic events","",TRUE,,,,1,
58,"Publication","Marinescu2023","Data lock-in","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","Data lock-in / Resources unavailability","TRUE",,,,,,1
59,"Publication","Marinescu2023","phase transition phenomena and other effects specific to complex systems","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","Phase transition phenomena and other effects specific to complex systems","TRUE",,,,,,1
60,"Publication","Marinescu2023","Application on the cloud returns incorrect results","Threats related to system availability",TRUE,,,,"Availability",,,,,,,,"C 8.2","Application on the cloud returns incorrect results","",TRUE,,,,,
61,"Publication","Marinescu2023","Cloud provider may subcontract some resources from a third party","Threats related to third-party data control",TRUE,,,,,,,,,,,,"C 8.2","Cloud provider may subcontract some resources from a third party","TRUE",,,,,,1
62,"Publication","Marinescu2023","Cloud provider espionage","Threats related to third-party data control",TRUE,,,,,,,,,,,,"C 8.2","Cloud provider espionage","",TRUE,TRUE,,,1,
63,"Publication","Marinescu2023","Lack of transparency","Threats related to third-party data control",TRUE,,,,,,,,,,,,"C 8.2","Unknown threats due to lack of transparency","",TRUE,,,,1,
64,"Publication","Marinescu2023","Abusive use of the cloud",,TRUE,,,,,TRUE,TRUE,,,,,"2010 Cloud Security Alliance (CSA) report","C 8.2","Using the cloud to host attacks (services, ressources, ...)","",TRUE,,,,,
65,"Publication","Marinescu2023","Launch DoS attacks","Abusive use of the cloud",,TRUE,,,,TRUE,TRUE,,,,,"2011 Cloud Security Alliance (CSA) report","C 8.2","DoS/DDoS attack","",TRUE,TRUE,,,,
66,"Publication","Marinescu2023","Distribute spam and malware","Abusive use of the cloud",,TRUE,,,,TRUE,TRUE,,,,,"2012 Cloud Security Alliance (CSA) report","C 8.2","Distribute spam and malware (malware proliferation)","",TRUE,TRUE,,,1,
67,"Publication","Marinescu2023","Insecure APIs",,TRUE,,,,,TRUE,TRUE,TRUE,,,,"2013 Cloud Security Alliance (CSA) report","C 8.2","Insecure interfaces and APIs","",TRUE,,,,1,
68,"Publication","Marinescu2023","Malicious insiders",,TRUE,,,,,TRUE,TRUE,TRUE,,,,"2014 Cloud Security Alliance (CSA) report","C 8.2","Malicious insider attack","",TRUE,TRUE,,,1,
69,"Publication","Marinescu2023","Shared technology",,TRUE,,,,,TRUE,,,,,,"2015 Cloud Security Alliance (CSA) report","C 8.2","Multitenancy / Shared technology","",TRUE,,,,1,
70,"Publication","Marinescu2023","Account hijacking",,TRUE,,,,,TRUE,TRUE,TRUE,,,,"2016 Cloud Security Alliance (CSA) report","C 8.2","Account hijacking / compromised accounts","",TRUE,TRUE,,,1,
71,"Publication","Marinescu2023","Data loss",,TRUE,,,"Risk",,TRUE,TRUE,TRUE,,,,"2017 Cloud Security Alliance (CSA) report","C 8.2","(Permanent) Data loss","TRUE",,,,,,1
72,"Publication","Marinescu2023","Data leakage",,TRUE,,,"Risk",,TRUE,TRUE,TRUE,,,,"2018 Cloud Security Alliance (CSA) report","C 8.2","Data leakage/disclosure","TRUE",,TRUE,,,,1
73,"Publication","Marinescu2023","Unknown risk profile",,TRUE,,,,,TRUE,TRUE,TRUE,,,"refers to exposure to the ignorance or underestimation of the risks of cloud computing.","2019 Cloud Security Alliance (CSA) report","C 8.2","Unknown threats due to lack of transparency","",TRUE,,,,1,
74,"Publication","Marinescu2023","SSL certificate spoofing","User - attacked by service",,TRUE,,,,,,,,,"By actor",,"C 8.2","SSL certificate spoofing","",TRUE,TRUE,,,1,
75,"Publication","Marinescu2023","Attacks on browser caches","User - attacked by service",,TRUE,,,,,,,,,"By actor",,"C 8.2","Attacks on browser caches","",TRUE,TRUE,,,1,
76,"Publication","Marinescu2023","Phishing attacks","User - attacked by service",,TRUE,,,,,,,,,"By actor",,"C 8.2","Phishing","",TRUE,TRUE,,,1,
77,"Publication","Marinescu2023","The user can also be a victim of attacks that either truly originate or that spoof origination from the cloud infrastructure.","User - attacked by cloud",,TRUE,,,,,,,,,"By actor",,"C 8.2","The user can also be a victim of attacks that either truly originate or that spoof origination from the cloud infrastructure.","",TRUE,TRUE,,,,
78,"Publication","Marinescu2023","Buffer overflow","Service - attacked by user",,TRUE,,,,,,,,,"By actor",,"C 8.2","Buffer overflow attacks","",TRUE,TRUE,,,1,
79,"Publication","Marinescu2023","SQL injection","Service - attacked by user",,TRUE,,,,,,,,,"By actor",,"C 8.2","SQL injection","",TRUE,TRUE,,,1,
80,"Publication","Marinescu2023","Privilege escalation","Service - attacked by user",,TRUE,,,,,,,,,"By actor",,"C 8.2","Privilege escalation","",TRUE,TRUE,,,1,
81,"Publication","Marinescu2023","Limiting access to resources","Service - attacked by cloud",,TRUE,,,,,,,,,"By actor",,"C 8.2","Limiting access to resources","",TRUE,TRUE,,,1,
82,"Publication","Marinescu2023","Privilege-related attacks","Service - attacked by cloud",,TRUE,,,,,,,,,"By actor",,"C 8.2","Privilege-related attacks","",TRUE,TRUE,,,1,
83,"Publication","Marinescu2023","Data distortion","Service - attacked by cloud",,TRUE,,,,,,,,,"By actor",,"C 8.2","Data distortion","TRUE",,TRUE,,,,1
84,"Publication","Marinescu2023","Injecting additional operations","Service - attacked by cloud",,TRUE,,,,,,,,,"By actor",,"C 8.2","Injecting additional operations","",TRUE,TRUE,,,1,
85,"Publication","Marinescu2023","Same a user would direct toward any other cloud service.","Cloud - attacked by user",,TRUE,,,,,,,,,"By actor",,"C 8.2","Same as user would direct toward any other cloud service.","",TRUE,TRUE,,,,
86,"Publication","Marinescu2023","Service requesting an excessive amount of resources and causing the exhaustion of the resources","Cloud - attacked by service",,TRUE,,,,,,,,,"By actor",,"C 8.2","Service requesting an excessive amount of resources and causing the exhaustion of the resources","",TRUE,TRUE,,,1,
87,"Publication","Marinescu2023","Data breaches",,TRUE,,,,,,,,,1,,"CSA 2016 Top cloud security threats","C 8.2","Data breach","TRUE",,,,,,1
88,"Publication","Marinescu2023","Compromized credentials and broken authentication",,TRUE,,,,,,,,,2,,"CSA 2016 Top cloud security threats","C 8.2","Account hijacking / compromised accounts","",TRUE,,,,1,
89,"Publication","Marinescu2023","Hacked interfaces and APIs",,TRUE,,,,,,,,,3,,"CSA 2016 Top cloud security threats","C 8.2","Hacked interfaces and APIs","",TRUE,,,,1,
90,"Publication","Marinescu2023","Exploited system vulnerabilities",,TRUE,,,,,,,,,4,,"CSA 2016 Top cloud security threats","C 8.2","System vulnerabilities","",TRUE,,TRUE,,,
91,"Publication","Marinescu2023","Account hijacking",,TRUE,,,,,,,,,5,,"CSA 2016 Top cloud security threats","C 8.2","Account hijacking / compromised accounts","",TRUE,TRUE,,,1,
92,"Publication","Marinescu2023","Malicious insiders",,TRUE,,,,,,,,,6,,"CSA 2016 Top cloud security threats","C 8.2","Malicious insider attack","",TRUE,TRUE,,,1,
93,"Publication","Marinescu2023","APTs",,TRUE,,,,,,,,,7,,"CSA 2016 Top cloud security threats","C 8.2","APTs","",TRUE,TRUE,,,,
94,"Publication","Marinescu2023","Permanent data loss",,TRUE,,,,,,,,,8,,"CSA 2016 Top cloud security threats","C 8.2","(Permanent) Data loss","TRUE",,,,,,1
95,"Publication","Marinescu2023","Inadequate diligence",,TRUE,,,,,,,,,9,,"CSA 2016 Top cloud security threats","C 8.2","Inadequate diligence","TRUE",,,,,,1
96,"Publication","Marinescu2023","Cloud service abuse",,TRUE,,,,,,,,,10,,"CSA 2016 Top cloud security threats","C 8.2","Using the cloud to host attacks (services, ressources, ...)","",TRUE,TRUE,,TRUE,,
97,"Publication","Marinescu2023","DoS attacks",,TRUE,,,,,,,,,11,,"CSA 2016 Top cloud security threats","C 8.2","DoS/DDoS attack","",TRUE,TRUE,,,1,
98,"Publication","Marinescu2023","Shared technology",,TRUE,,,,,,,,,12,,"CSA 2016 Top cloud security threats","C 8.2","Multitenancy / Shared technology","",TRUE,,,,1,
99,"Publication","Marinescu2023","Hardware failures",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Hardware failures","",TRUE,,,,1,
100,"Publication","Marinescu2023","Natural disasters",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Natural disasters","",TRUE,,,,1,
101,"Publication","Marinescu2023","Cloud-related malware",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","(Cloud-related) malware injection attack","",TRUE,,,,1,
102,"Publication","Marinescu2023","Inadequate infrastructure design and planning",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Inadequate infrastructure design and planning","TRUE",,,,,,1
103,"Publication","Marinescu2023","Point-of-sale (POS) intrusions and payment card skimmers",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Point-of-sale (POS) intrusions and payment card skimmers","",TRUE,TRUE,,,,
104,"Publication","Marinescu2023","Crimeware and cyber espionage",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Crimeware and cyber espionage","TRUE",,TRUE,,,,1
105,"Publication","Marinescu2023","Insider and privilege misues",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Misuse of (superuser) privileges","",TRUE,TRUE,,,1,
106,"Publication","Marinescu2023","Web app attacks",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Web app attacks","",TRUE,TRUE,,,1,
107,"Publication","Marinescu2023","Physical theft/loss",,TRUE,,,,,,,,,,,"Threats identified by [471]","C 8.2","Physical theft","",TRUE,TRUE,,,1,
108,"Publication","Marinescu2023","Regulation differences because the service may be unable to assure compliance in all jurisdictions an organization operates in",,,,,"Concern",,,,,,,"Potential concerns of SecaaS",,"C 8.3","Regulation differences because the service may be unable to assure compliance in all jurisdictions an organization operates in","TRUE",,,,,,1
109,"Publication","Marinescu2023","Lack of visibility as the service provider may not reveal details of how it implements its own security and manages its own environment",,,,,"Concern",,,,,,,"Potential concerns of SecaaS",,"C 8.3","Lack of visibility into CSPs operations (security, environment management)","TRUE",,,,,,1
110,"Publication","Marinescu2023","Identity theft",,TRUE,,,,,,,,,,"Privacy concern",,"C 8.4","Identity theft","TRUE",TRUE,TRUE,,,1,1
111,"Publication","Marinescu2023","Lack of user control",,,,,"Aspect",,,,,,,"Main aspect of cloud privacy",,"C 8.4","Lack of user control","TRUE",,,,,,1
112,"Publication","Marinescu2023","Potential unauthorized secondary use",,,,,"Aspect",,,,,,,"Main aspect of cloud privacy",,"C 8.4","Potential unauthorized secondary use","TRUE",,,,,,1
113,"Publication","Marinescu2023","Data proliferation",,,,,"Aspect",,,,,,,"Main aspect of cloud privacy",,"C 8.4","Data proliferation","TRUE",,,,,,1
114,"Publication","Marinescu2023","Dynamic provisioning",,TRUE,,,"Aspect",,,,,,,"Main aspect of cloud privacy",,"C 8.4","Dynamic provisioning","TRUE",,,,,,1
115,"Publication","Marinescu2023","Insufficient authorization, authentication and accounting mechansims","Data loss",,,,"Cause",,,,,"DBaaS ",,"Major cause of data loss",,"C 8.7","Insufficient/missing authentication; Insufficient/missing authorization; Insufficient/missing accounting","TRUE",TRUE,,,,2,1
116,"Publication","Marinescu2023","Inconsistent use of encryption keys and techniques","Data loss",,,,"Cause",,,,,"DBaaS ",,"Major cause of data loss",,"C 8.7","Inconsistent use of encryption keys and techniques","",TRUE,,,,1,
117,"Publication","Marinescu2023","Alteration or deletion of records without maintaining backup","Data loss",,,,"Cause",,,,,"DBaaS ",,"Major cause of data loss",,"C 8.7","Alteration or deletion of data/records (without maintaining backup)","",TRUE,,,,1,
118,"Publication","Marinescu2023","Operational failures","Data loss",,,,"Cause",,,,,"DBaaS ",,"Major cause of data loss",,"C 8.7","Operational failures","TRUE",,,,,,1
119,"Publication","Marinescu2023","Absence of authentication, authorization and accounting controls","Data integrity and privacy issues",,,,"Issue","Integrity",,,,"DBaaS ",,,,"C 8.7","Insufficient/missing authentication; Insufficient/missing authorization; Insufficient/missing accounting","TRUE",TRUE,,,,2,1
120,"Publication","Marinescu2023","Poor key managemente for encryption and decryption","Data integrity and privacy issues",,,,"Issue","Integrity",,,,"DBaaS ",,,,"C 8.7","Poor key managemente for encryption and decryption","",TRUE,,TRUE,,1,
121,"Publication","Marinescu2023","Bugs",,,,,"Issue","Confidentiality",,,,"DBaaS ",,"Unencrypted data is vulnerable to _",,"C 8.7","Bugs","",TRUE,,TRUE,,,
122,"Publication","Marinescu2023","Erors",,,,,"Issue","Confidentiality",,,,"DBaaS ",,"Unencrypted data is vulnerable to _",,"C 8.7","Errors","",TRUE,,,,,
123,"Publication","Marinescu2023","Attacks from external entities",,,,,"Issue","Confidentiality",,,,"DBaaS ",,"Unencrypted data is vulnerable to _",,"C 8.7","Attacks from external entities / outsider attacks","",TRUE,TRUE,,,1,
124,"Publication","Marinescu2023","Superusers have unlimited privileges","Insider attacks",,,,"Concern",,,,,"DBaaS ",,"For DBaaS users and data owners",,"C 8.7","Excessive permissions/privileges","",TRUE,,,,1,
125,"Publication","Marinescu2023","Misues of superuser privileges","Insider attacks",TRUE,,,"Concern","Confidentiality",,,,"DBaaS ",,"For DBaaS users and data owners",,"C 8.7","Misuse of (superuser) privileges","",TRUE,,,,1,
126,"Publication","Marinescu2023","Spoofing","Malicious external attackers use",,,,,,,,,"DBaaS ",,,,"C 8.7","Spoofing","",TRUE,TRUE,,,1,
127,"Publication","Marinescu2023","Sniffing",,,,,,,,,,"DBaaS ",,"Malicious external attackers use this to launch DoS attacks",,"C 8.7","Sniffing","",TRUE,TRUE,,,1,
128,"Publication","Marinescu2023","MITM attacks",,,,,,,,,,"DBaaS ",,"Malicious external attackers use this to launch DoS attacks",,"C 8.7","MITM attack","",TRUE,TRUE,,,,
129,"Publication","Marinescu2023","Sid chaneling",,,,,,,,,,"DBaaS ",,"Malicious external attackers use this to launch DoS attacks",,"C 8.7","Side channeling","TRUE",,,,,,1
130,"Publication","Marinescu2023","Illegal transactions to launch DoS attacks",,,,,,,,,,"DBaaS ",,"Malicious external attackers use this to launch DoS attacks",,"C 8.7","DoS/DDoS attack","",TRUE,TRUE,,,1,
131,"Publication","Marinescu2023","Illegal data recovery from storage devices",,,,,"Concerns",,,,,"DBaaS ",,,,"C 8.7","Illegal data recovery from storage (devices)","",TRUE,TRUE,,,1,
132,"Publication","Marinescu2023","Data is vulnerable during transfor from data owner to DBaaS",,,,,,,,,,"DBaaS ",,,,"C 8.7","Data is vulnerable during transfor from data owner to DBaaS","",TRUE,,TRUE,,1,
133,"Publication","Marinescu2023","Data provenance",,,,,,,,,,"DBaaS ",,,,"C 8.7","Data location","TRUE",,,,,,1
134,"Publication","Marinescu2023","Are not aware of the physical location of their data","Lack of transparency",,,,,,,,,"DBaaS ",,"For cloud users",,"C 8.7","Are not aware of the physical location of their data","TRUE",,,,,,1
135,"Publication","Marinescu2023","Do not have fine-grained control of the remote execution environment","Lack of transparency",,,,,,,,,"DBaaS ",,"DBaaS users",,"C 8.7","Loss of control in execution environment","TRUE",,,,,,1
136,"Publication","Marinescu2023","Ensuring consistency among the replicas ",,,,,"Challenge",,,,,"DBaaS ",,,,"C 8.7","Ensuring consistency among the replicas ","TRUE",,,,,,1
137,"Publication","Marinescu2023","Carry out timely backups",,,,,"Challenge",,,,,"DBaaS ",,,,"C 8.7","Carry out timely backups","TRUE",,,,,,1
138,"Publication","Marinescu2023","Auditing and monitoring is a risk when delegated to Third-Party-Auditors",,,,,"Risk",,,,,"DBaaS ",,"Important functions for DBaaS",,"C 8.7","Third-party access / Unauthorized access to data and privileged information","",TRUE,,,,1,
139,"Publication","Marinescu2023","Data privacy laws may be violated because consumers are unaware where the data is actually stored",,,,,,,,,,"DBaaS ",,,,"C 8.7","Consumers are unaware where the data is actually stored","TRUE",,,,,,1
140,"Publication","Marinescu2023","Resource exhaustion caused by imprecise specification of user needs or incorrect evaluation of user specification",,TRUE,,,,"Availability",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Resource exhaustion caused by imprecise specification of user needs or incorrect evaluation of user specification","",TRUE,,,,1,
141,"Publication","Marinescu2023","Failures of the consistency management",,TRUE,,,,"Availability",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Failures of the consistency management","TRUE",TRUE,,,,,1
142,"Publication","Marinescu2023","Multiple hardware and/or software failures lead to inconsistent views of user data",,TRUE,,,,"Availability",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Multiple hardware and/or software failures lead to inconsistent views of user data","",TRUE,,,,1,
143,"Publication","Marinescu2023","Failure of the monitoring and auditing system",,TRUE,,,,"Availability",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Disabled/misconfigured monitoring and logging (on a heterogeneous workload system)","",TRUE,,,,1,
144,"Publication","Marinescu2023","Insider attacks",,TRUE,,,,"Confidentiality",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Malicious Insider attack","",TRUE,TRUE,,,1,
145,"Publication","Marinescu2023","Outsider attacks",,TRUE,,,,"Confidentiality",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Attacks from external entities / outsider attacks","",TRUE,TRUE,,,1,
146,"Publication","Marinescu2023","Access control issues",,TRUE,,,,"Confidentiality",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Insufficient/missing access control","",TRUE,,,,1,
147,"Publication","Marinescu2023","Illegal data recovery from storage",,TRUE,,,,"Confidentiality",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Illegal data recovery from storage (devices)","",TRUE,TRUE,,,1,
148,"Publication","Marinescu2023","Network breaches",,TRUE,,,,"Confidentiality",,,,"DBaaS ",,"Summary of previous DBaaS objects",,"C 8.7","Network breaches","TRUE",,,,,,1
