"Counter: Marinescu2023","Counter: Bharti2024","Counter: Amalarethinam2024","Counter: Surianarayanan2023","Counter: Humayun2022","Counter: Wali2023","Counter: CSA2024","Counter: PaloAlto2024","Counter: CrowdStrike2024","Counter: SentinelOne2024","Object","Main category of concern","C: Regulatory & Legal Compliance","C: Data Privacy and Ownership","C: System & Operational Failures","C: Resource & Service Management","C: Accountability & Control","C5: Cloud as new technology, and complex nature of cloud","C: Data security","C: Data management and integrity","C: Infrastructure and network security","C: Software/Application security","Impact","Confidentiality","Integrity","Availability"
3,2,,1,,,8,,,,"(Permanent) Data loss","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,TRUE,,,TRUE
1,,,,,,,,,,"Failures of the consistency management","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,,TRUE,TRUE
,,,1,,,,,,,"Recovery-related issues","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,TRUE,,TRUE
,,,1,,,,,,,"Data integrity","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,,TRUE,
1,,,,,,,,,,"Data integration","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,,TRUE,
1,,,,,,,,,,"Data encryption","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,TRUE,,
,,,1,,,,,,,"Data sharing","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,TRUE,,
,,,1,,,,,,,"Data recovery","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,TRUE,,TRUE
,,,1,,,,,,,"Lack of data management","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,,TRUE,
1,,,,,,,,,,"Ensuring consistency among the replicas ","Data security, -management and -integrity",,,,,,,,TRUE,,,,,TRUE,
1,,,,,,,,,,"Carry out timely backups","Data security, -management and -integrity",,,,,,,,TRUE,,,,,,TRUE
1,,,,,,,,,,"Data remanence after de-provisioning","Data security, -management and -integrity",,TRUE,,,,,TRUE,TRUE,,,,TRUE,,
1,,,,,,,,,,"Data distortion","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,TRUE,,TRUE,
9,2,,3,1,3,4,2,,3,"Data Breaches and Loss","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE
1,,,,,,,,,,"The inability to prevent the misuse of data or theft by insiders","Data security, -management and -integrity",,,,,,,TRUE,TRUE,,,,TRUE,,
1,,,,,,,,,,"The inability to control and keep track of data in transit to and from cloud applications","Data security, -management and -integrity",,TRUE,,,,,TRUE,TRUE,,,,TRUE,,
1,,,,,,,,,,"Side channeling","Infrastructure and network security",,,,,,,,,TRUE,,,TRUE,,
1,,,,,,,,,,"Network breaches","Infrastructure and network security",,TRUE,,,,,,,TRUE,,TRUE,TRUE,,
,1,,,,,,,,,"DNS service","Infrastructure and network security",,,,,,,,,TRUE,,,TRUE,,TRUE
1,,,,,,,,,,"Loss of control in execution environment","Infrastructure and network security",,,,,TRUE,,,,TRUE,,,TRUE,TRUE,
2,,,,,,,,,,"Protect the infrastructure used to connect to the cloud","Infrastructure and network security",,,,,,,,,TRUE,,,,,TRUE
,,,1,,,,,,,"Heterogeneity in hardware and software cause flaws as the security setting for different resources would be different","Infrastructure and network security",,,,,,,,,TRUE,,,,TRUE,
,,,,,,,,2,,"Insecure CSP default settings","Infrastructure and network security",,,,,,TRUE,,,TRUE,,,TRUE,TRUE,
,1,,,,,,,,,"Network bandwidth","Infrastructure and network security",,,,,,,,,TRUE,,,,,TRUE
1,,,1,,,,,,,"(Data) Availability","Infrastructure and network security",,,,,,,,,TRUE,,,,,TRUE
,,,,,,,1,,,"Unforseen vulnerabilities and exploits introduced by AI-generated code","Software/Application security",,,,,,,,,,TRUE,,,,
,,,,,,1,1,,,"Insecure software development","Software/Application security",,,,,,,,,,TRUE,,TRUE,TRUE,
,,,,,,1,,,,"Insecure Thrid-Party Resources","Software/Application security",,,,,,,,,,TRUE,,TRUE,TRUE,
,,,1,,,,,,,"Maintaining consistent security across multiple platforms or tools","Software/Application security",,,,,,,,,,TRUE,,,TRUE,
1,,,,,,,,,,"Forced version updates","Software/Application security",,,,,,,,,,TRUE,,,TRUE,TRUE
,,,,,,,1,,,"API-associated risks","Software/Application security",,,,,,,,,,TRUE,,TRUE,TRUE,
5,,5,1,2,2,2,2,,,"Deleted general security objects",,,,,,,,,,,,,,,
1,1,,1,2,,,,,,"Deleted other objects",,,,,,,,,,,,,,,
